pasc,PASC Name Simple,ICD-10-CM Code,ICD-10-CM Code_clean,ICD-10-CM Code Description,selected stringent,selected broader,snomed_code,mapping_source,concept_id,concept_name
Circulatory signs and symptoms,Abnormal heartbeat,R000,R00.0,"Tachycardia, unspecified",1,1,3424008,omop,444070,Tachycardia
Diabetes mellitus with complication,Diabetes mellitus,E10630,E10.630,Type 1 diabetes mellitus with periodontal disease,1,1,74627003,omop,442793,Complication due to diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E10649,E10.649,Type 1 diabetes mellitus with hypoglycemia without coma,1,1,46635009,omop,201254,Type 1 diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E103319,E10.3319,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",1,1,138891000119109,omop,37016180,Moderate nonproliferative retinopathy due to type 1 diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E11321,E11.321,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,1,1,312912001,omop,380097,Macular edema due to diabetes mellitus
Pressure ulcer of skin,Pressure ulcer,L89213,L89.213,"Pressure ulcer of right hip, stage 3",1,1,421927004,omop,135340,Pressure ulcer stage 3
Other general signs and symptoms,Edema,R52,R52,"Pain, unspecified",1,1,22253000,omop,4329041,Pain
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,O2220,O22.20,"Superficial thrombophlebitis in pregnancy, unspecified trimester",1,1,173300003,omop,439658,Disorder of pregnancy
Headache; including migraine,Headache,G4370,G43.70,"Chronic migraine without aura, not intractable",1,1,56097005,omop,378735,Migraine without aura
Other general signs and symptoms,Edema,R60,R60,"Edema, not elsewhere classified",1,1,267038008,omop,433595,Edema
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I82431,I82.431,Acute embolism and thrombosis of right popliteal vein,1,1,132251000119101,omop,44782743,Acute deep venous thrombosis of popliteal vein
Other specified upper respiratory infections,Acute pharyngitis,J0430,J04.30,"Supraglottitis, unspecified, without obstruction",1,1,709663002,omop,46271527,Supraglottitis
Diabetes mellitus with complication,Diabetes mellitus,E130,E13.0,Other specified diabetes mellitus with hyperosmolarity,1,1,420662003,omop,443735,Coma due to diabetes mellitus
"Musculoskeletal pain, not low back pain",Joint pain,M7910,M79.10,"Myalgia, unspecified site",1,1,288225004,omop,4125937,Myalgia/myositis - multiple
Diabetes mellitus with complication,Diabetes mellitus,E083391,E08.3391,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, right eye",1,1,8801005,omop,195771,Secondary diabetes mellitus
Neurocognitive disorders,Dementia,F05,F05,Delirium due to known physiological condition,1,1,2776000,omop,373995,Delirium
Diabetes mellitus with complication,Diabetes mellitus,E08341,E08.341,Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema,1,1,8801005,omop,195771,Secondary diabetes mellitus
Other specified and unspecified skin disorders,Hair loss,L7452,L74.52,Secondary focal hyperhidrosis,1,1,92661000119104,omop,46273431,Secondary focal hyperhidrosis
Diabetes mellitus with complication,Diabetes mellitus,E113532,E11.3532,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",1,1,82541000119100,omop,45773064,Traction detachment of retina due to type 2 diabetes mellitus
Sleep wake disorders,Sleep disorders,G4700,G47.00,"Insomnia, unspecified",1,1,193462001,omop,436962,Insomnia
Diabetes mellitus with complication,Diabetes mellitus,E11351,E11.351,Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema,1,1,1501000119109,omop,43530685,Proliferative retinopathy due to type 2 diabetes mellitus
Abdominal pain and other digestive/abdomen signs and symptoms,Abdominal pain,R19,R19,Other symptoms and signs involving the digestive system and abdomen,1,1,118948005,omop,444089,Disorder of abdomen
Diabetes mellitus with complication,Diabetes mellitus,E083549,E08.3549,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",1,1,232012007,omop,4338897,Combined traction and rhegmatogenous retinal detachment
Diabetes mellitus with complication,Diabetes mellitus,E0843,E08.43,Diabetes mellitus due to underlying condition with diabetic autonomic (poly)neuropathy,1,1,50620007,omop,4175440,Autonomic neuropathy due to diabetes mellitus
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I8002,I80.02,Phlebitis and thrombophlebitis of superficial vessels of left lower extremity,1,1,72565004,omop,438452,Phlebitis of superficial veins of lower extremity
Diabetes mellitus with complication,Diabetes mellitus,E083592,E08.3592,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, left eye",1,1,770766000,omop,36674200,Proliferative retinopathy of left eye due to diabetes mellitus
Other nervous system disorders (neither hereditary nor degenerative),Encephalopathy,G936,G93.6,Cerebral edema,1,1,2032001,omop,376690,Cerebral edema
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I82A11,I82.A11,Acute embolism and thrombosis of right axillary vein,1,1,134961000119104,omop,44782751,Acute deep venous thrombosis of axillary vein
Diabetes mellitus with complication,Diabetes mellitus,E11621,E11.621,Type 2 diabetes mellitus with foot ulcer,1,1,44054006,omop,201826,Type 2 diabetes mellitus
Nervous system signs and symptoms,Cognitive problems,R258,R25.8,Other abnormal involuntary movements,1,1,260912008,omop,376229,Abnormal involuntary movement
Pressure ulcer of skin,Pressure ulcer,L89626,L89.626,Pressure-induced deep tissue damage of left heel,1,1,282780003,omop,4151207,Heel injury
Neurocognitive disorders,Dementia,F0390,F03.90,Unspecified dementia without behavioral disturbance,1,1,52448006,omop,4182210,Dementia
Pressure ulcer of skin,Pressure ulcer,L89511,L89.511,"Pressure ulcer of right ankle, stage 1",1,1,699211004,omop,44782446,Pressure ulcer of ankle
Other specified and unspecified skin disorders,Hair loss,L750,L75.0,Bromhidrosis,1,1,65382006,omop,4276354,Bromhidrosis
Other nervous system disorders (neither hereditary nor degenerative),Encephalopathy,G9520,G95.20,Unspecified cord compression,1,1,71286001,omop,4322945,Spinal cord compression
Diabetes mellitus with complication,Diabetes mellitus,E1039,E10.39,Type 1 diabetes mellitus with other diabetic ophthalmic complication,1,1,739681000,omop,42538169,Disorder of eye due to type 1 diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E103532,E10.3532,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",1,1,60971000119101,omop,45763584,Proliferative retinopathy due to type 1 diabetes mellitus
"Musculoskeletal pain, not low back pain",Joint pain,M2552,M25.52,Pain in elbow,1,1,57676002,omop,77074,Joint pain
Headache; including migraine,Headache,G43B0,G43.B0,"Ophthalmoplegic migraine, not intractable",1,1,49605003,omop,4175786,Ophthalmoplegic migraine
Pressure ulcer of skin,Pressure ulcer,L89006,L89.006,Pressure-induced deep tissue damage of unspecified elbow,1,1,723071003,omop,36716852,Deep tissue pressure injury
Abdominal pain and other digestive/abdomen signs and symptoms,Abdominal pain,R1084,R10.84,Generalized abdominal pain,1,1,102614006,omop,197988,Generalized abdominal pain
Other specified and unspecified skin disorders,Hair loss,L638,L63.8,Other alopecia areata,1,1,68225006,omop,141933,Alopecia areata
Other general signs and symptoms,Edema,R636,R63.6,Underweight,1,1,735939003,omop,42536911,Insufficient intake of food and water with self neglect
Headache; including migraine,Headache,G437,G43.7,Chronic migraine without aura,1,1,431601000124105,omop,762769,Chronic migraine without aura
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,O2230,O22.30,"Deep phlebothrombosis in pregnancy, unspecified trimester",1,1,49956009,omop,435887,Antepartum deep vein thrombosis
Diabetes mellitus with complication,Diabetes mellitus,E110,E11.0,Type 2 diabetes mellitus with hyperosmolarity,1,1,44054006,omop,201826,Type 2 diabetes mellitus
Other specified and unspecified lower respiratory disease,Pulmonary fibrosis,J8289,J82.89,"Other pulmonary eosinophilia, not elsewhere classified",1,1,367542003,omop,4279553,Eosinophilic asthma
Diabetes mellitus with complication,Diabetes mellitus,E113542,E11.3542,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",1,1,1501000119109,omop,43530685,Proliferative retinopathy due to type 2 diabetes mellitus
Abdominal pain and other digestive/abdomen signs and symptoms,Abdominal pain,R1032,R10.32,Left lower quadrant pain,1,1,301716002,omop,195083,Left lower quadrant pain
"Musculoskeletal pain, not low back pain",Joint pain,M25559,M25.559,Pain in unspecified hip,1,1,49218002,omop,4170554,Hip pain
"Musculoskeletal pain, not low back pain",Joint pain,M25672,M25.672,"Stiffness of left ankle, not elsewhere classified",1,1,249912007,omop,4097158,Ankle stiff
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I80241,I80.241,Phlebitis and thrombophlebitis of right peroneal vein,1,1,448157006,omop,40488439,Abnormality of systemic vein
Diabetes mellitus with complication,Diabetes mellitus,E103521,E10.3521,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye",1,1,60971000119101,omop,45763584,Proliferative retinopathy due to type 1 diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E1363,E13.63,Other specified diabetes mellitus with oral complications,1,1,118938008,omop,4042502,Disease of mouth
Diabetes mellitus with complication,Diabetes mellitus,E113293,E11.3293,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral",1,1,138911000119106,omop,45757435,Mild nonproliferative retinopathy due to type 2 diabetes mellitus
Other specified and unspecified skin disorders,Hair loss,L751,L75.1,Chromhidrosis,1,1,26147006,omop,4094386,Chromhidrosis
Respiratory signs and symptoms,Dyspnea,R060,R06.0,Dyspnea,1,1,267036007,omop,312437,Dyspnea
Headache; including migraine,Headache,G4452,G44.52,New daily persistent headache (NDPH),1,1,121021000119105,omop,43530648,New daily persistent headache
Diabetes mellitus with complication,Diabetes mellitus,E083593,E08.3593,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, bilateral",1,1,8801005,omop,195771,Secondary diabetes mellitus
Headache; including migraine,Headache,G4383,G43.83,"Menstrual migraine, intractable",1,1,423894005,omop,443615,Refractory migraine
Headache; including migraine,Headache,G44221,G44.221,"Chronic tension-type headache, intractable",1,1,230471006,omop,377853,Chronic tension-type headache
Diabetes mellitus with complication,Diabetes mellitus,E083549,E08.3549,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",1,1,8801005,omop,195771,Secondary diabetes mellitus
Pressure ulcer of skin,Pressure ulcer,L89143,L89.143,"Pressure ulcer of left lower back, stage 3",1,1,421927004,omop,135340,Pressure ulcer stage 3
Pressure ulcer of skin,Pressure ulcer,L89009,L89.009,"Pressure ulcer of unspecified elbow, unspecified stage",1,1,225559007,omop,439410,Pressure ulcer of elbow
Pressure ulcer of skin,Pressure ulcer,L89626,L89.626,Pressure-induced deep tissue damage of left heel,1,1,723071003,omop,36716852,Deep tissue pressure injury
Diabetes mellitus with complication,Diabetes mellitus,E083523,E08.3523,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",1,1,8801005,omop,195771,Secondary diabetes mellitus
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I80259,I80.259,Phlebitis and thrombophlebitis of unspecified calf muscular vein,1,1,448157006,omop,40488439,Abnormality of systemic vein
Headache; including migraine,Headache,G445,G44.5,Complicated headache syndromes,1,1,25064002,omop,378253,Headache
Abdominal pain and other digestive/abdomen signs and symptoms,Abdominal pain,R18,R18,Ascites,1,1,389026000,omop,200528,Ascites
Abdominal pain and other digestive/abdomen signs and symptoms,Abdominal pain,R1906,R19.06,"Epigastric swelling, mass or lump",1,1,274719002,omop,4168222,"Intra-abdominal and pelvic swelling, mass and lump"
Pressure ulcer of skin,Pressure ulcer,L89613,L89.613,"Pressure ulcer of right heel, stage 3",1,1,421927004,omop,135340,Pressure ulcer stage 3
Diabetes mellitus with complication,Diabetes mellitus,E11630,E11.630,Type 2 diabetes mellitus with periodontal disease,1,1,2556008,omop,134398,Periodontal disease
Diabetes mellitus with complication,Diabetes mellitus,E0810,E08.10,Diabetes mellitus due to underlying condition with ketoacidosis without coma,1,1,8801005,omop,195771,Secondary diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E113392,E11.3392,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye",1,1,138921000119104,omop,45770881,Moderate nonproliferative retinopathy due to type 2 diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E0800,E08.00,Diabetes mellitus due to underlying condition with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),1,1,14735008,omop,4032787,Hyperosmolarity
Other specified and unspecified skin disorders,Hair loss,L630,L63.0,Alopecia (capitis) totalis,1,1,19754005,omop,4056343,Alopecia totalis
Other nervous system disorders (neither hereditary nor degenerative),Encephalopathy,G94,G94,Other disorders of brain in diseases classified elsewhere,1,1,81308009,omop,372887,Disorder of brain
